filename,described_sound,source_url,license
whoosh_transition.mp3,whoosh transition swipe,https://mixkit.co/free-sound-effects/whoosh/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
vine_boom.mp3,the real Vine boom (deep bass meme boom),https://pixabay.com/sound-effects/film-special-effects-vine-boom-392646/,"Pixabay Content License (free for commercial use, no attribution required)"
boom_impact.mp3,big cinematic boom impact,https://mixkit.co/free-sound-effects/impact/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
bass_drop.mp3,synthetic power bass drop,https://mixkit.co/free-sound-effects/bass/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
riser.mp3,cinematic trailer riser build-up,https://mixkit.co/free-sound-effects/cinematic/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
click.mp3,real mouse click,"user download: YouTube rip - Click Sound Effect (HD)","Unverified (YouTube SFX video rip). Kept by owner decision 2026-07-13; small Content ID claim risk"
keyboard_typing.mp3,keyboard typing sequence,"New UI sounds pack - MographMotions (Keyboard Typing.wav, Adobe Audition 2023)","MographMotions free creator pack - free for use in videos"
pop.mp3,pop,https://mixkit.co/free-sound-effects/pop/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
ding_notification.mp3,bright single notification ding,https://mixkit.co/free-sound-effects/bell/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
cash_register.mp3,cash register ka-ching,"New UI sounds pack: YouTube rip - Cash Register (Kaching) Sound Effect (HD)","Unverified (YouTube SFX video rip). Kept by owner decision 2026-07-13; small Content ID claim risk"
camera_shutter.mp3,camera shutter click,https://mixkit.co/free-sound-effects/camera/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
record_scratch.mp3,vinyl record scratch,https://mixkit.co/free-sound-effects/dj-record-scratch/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
laugh_track.mp3,crowd laugh track,https://mixkit.co/free-sound-effects/laugh/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
applause_clap.mp3,audience applause and clapping,https://mixkit.co/free-sound-effects/applause/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
crickets.mp3,night crickets ambience,https://mixkit.co/free-sound-effects/crickets/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
sad_trombone.mp3,sad trombone fail (womp womp),https://mixkit.co/free-sound-effects/sad/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
error_buzzer.mp3,low sustained error buzzer,https://mixkit.co/free-sound-effects/buzzer/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
level_up_chime.mp3,game level completed / level-up chime,https://mixkit.co/free-sound-effects/game-over/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
correct_ding.mp3,correct answer ding,https://mixkit.co/free-sound-effects/correct/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
wrong_answer_buzz.mp3,wrong answer buzz,https://mixkit.co/free-sound-effects/wrong/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
heartbeat.mp3,single human heartbeat,https://mixkit.co/free-sound-effects/heartbeat/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
typewriter.mp3,old typewriter typing,https://mixkit.co/free-sound-effects/typewriter/,"Mixkit Free License (free for commercial use, no attribution required, no watermark)"
